query_alias,record_id,canonical_product_tr,sector,candidate_cn,cbam_scope_candidate,base_confidence,disambiguation_questions,exclusion_or_alt_triggers,notes,source_url
aglomere demir cevheri,IS-001,Demir cevheri peleti / sinter,Demir-Çelik,26011200,IN,high,"Ürün aglomere/pelet mi, yoksa aglomere edilmemiş cevher mi?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
demir cevheri peleti,IS-001,Demir cevheri peleti / sinter,Demir-Çelik,26011200,IN,high,"Ürün aglomere/pelet mi, yoksa aglomere edilmemiş cevher mi?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
demir cevheri peleti / sinter,IS-001,Demir cevheri peleti / sinter,Demir-Çelik,26011200,IN,high,"Ürün aglomere/pelet mi, yoksa aglomere edilmemiş cevher mi?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
iron ore pellet,IS-001,Demir cevheri peleti / sinter,Demir-Çelik,26011200,IN,high,"Ürün aglomere/pelet mi, yoksa aglomere edilmemiş cevher mi?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sinter,IS-001,Demir cevheri peleti / sinter,Demir-Çelik,26011200,IN,high,"Ürün aglomere/pelet mi, yoksa aglomere edilmemiş cevher mi?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sinter cevheri,IS-001,Demir cevheri peleti / sinter,Demir-Çelik,26011200,IN,high,"Ürün aglomere/pelet mi, yoksa aglomere edilmemiş cevher mi?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dokumhane pik demiri,IS-002,Pik demir,Demir-Çelik,7201,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dökümhane pik demiri,IS-002,Pik demir,Demir-Çelik,7201,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ham demir,IS-002,Pik demir,Demir-Çelik,7201,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
hematit pik,IS-002,Pik demir,Demir-Çelik,7201,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
pig iron,IS-002,Pik demir,Demir-Çelik,7201,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
pik demir,IS-002,Pik demir,Demir-Çelik,7201,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dusuk karbon ferromangan,IS-003,Ferromangan,Demir-Çelik,72021,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
düşük karbon ferromangan,IS-003,Ferromangan,Demir-Çelik,72021,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
femn,IS-003,Ferromangan,Demir-Çelik,72021,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ferro mangan,IS-003,Ferromangan,Demir-Çelik,72021,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ferromangan,IS-003,Ferromangan,Demir-Çelik,72021,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
yuksek karbon ferromangan,IS-003,Ferromangan,Demir-Çelik,72021,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
yüksek karbon ferromangan,IS-003,Ferromangan,Demir-Çelik,72021,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dusuk karbon ferrokrom,IS-004,Ferrokrom,Demir-Çelik,72024,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
düşük karbon ferrokrom,IS-004,Ferrokrom,Demir-Çelik,72024,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
fecr,IS-004,Ferrokrom,Demir-Çelik,72024,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ferro krom,IS-004,Ferrokrom,Demir-Çelik,72024,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ferrokrom,IS-004,Ferrokrom,Demir-Çelik,72024,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
yuksek karbon ferrokrom,IS-004,Ferrokrom,Demir-Çelik,72024,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
yüksek karbon ferrokrom,IS-004,Ferrokrom,Demir-Çelik,72024,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
feni,IS-005,Ferronikel,Demir-Çelik,72026,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ferro nikel,IS-005,Ferronikel,Demir-Çelik,72026,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ferronikel,IS-005,Ferronikel,Demir-Çelik,72026,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
direct reduced iron,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dogrudan indirgenmis demir,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
doğrudan indirgenmiş demir,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dri,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
hbi,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
hot briquetted iron,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sunger demir,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sunger demir / dri,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sünger demir,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sünger demir / dri,IS-006,Sünger demir / DRI,Demir-Çelik,7203,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
billet,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
bloom,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
